id,city,region,region_code,country,country_code,continent,continent_code,latitude,longitude,viewCount,num_imgs,evaluate
1580391487,City of Brussels,Brussels-Capital,BE.BRU,Belgium,BE,Europe,EU,50.8467,4.35257,1078564,811,ok
1183494194,De Panne,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.10385,2.59071,645343,1629,remove
1183493206,Knokke-Heist,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.36093,3.32661,330947,812,remove
1183493286,Knokke-Heist,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.34423,3.25899,256658,1203,ok
1419604218,Waimes,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.49353,6.1003,220047,1234,ok
1296555442,Ghent,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.04606,3.72825,216187,1610,ok
1296578281,Antwerp,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.24067,4.39869,210428,1525,remove
1182187060,Kortrijk,Flanders,BE.VLG,Belgium,BE,Europe,EU,50.82754,3.26778,200465,1093,ok
1335109158,Leuven,Flanders,BE.VLG,Belgium,BE,Europe,EU,50.88276,4.70626,176527,1199,ok
1503755698,Grimbergen,Flanders,BE.VLG,Belgium,BE,Europe,EU,50.94868,4.39502,155816,1602,ok
1562831720,Rochehaut,Wallonia,BE.WAL,Belgium,BE,Europe,EU,49.8399,5.00416,154947,1633,remove
1196859128,Cerfontaine,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.16849,4.40348,140852,1215,ok
1354824758,Poperinge,Flanders,BE.VLG,Belgium,BE,Europe,EU,50.85562,2.72671,104467,1621,ok
1215958700,Kampenhout,Flanders,BE.VLG,Belgium,BE,Europe,EU,50.94147,4.56651,102428,1004,ok
1349694601,Bullingen,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.41425,6.27569,101766,934,ok
1577992890,Malmedy,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.45911,6.07998,92182,1616,ok
1187876054,Enghien,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.69529,4.03451,75609,1611,remove
1581361459,Waimes,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.51089,6.07321,71273,1610,ok
1391950651,Goe,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.60746,5.96221,66304,1594,ok
1461870219,Westende-Bad,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.16758,2.7663,62892,1623,remove
1397508900,Witry,Wallonia,BE.WAL,Belgium,BE,Europe,EU,49.85416,5.59024,59003,868,ok
1611844461,Vielsalm,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.25405,5.7354,57941,802,ok
1583106144,Bullingen,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.33178,6.33463,56796,1603,ok
1564239332,Middelkerke,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.18771,2.81401,54679,755,remove
1611232315,Sprimont,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.53118,5.61039,50340,777,ok
1587300182,Bullingen,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.42353,6.26109,50259,1632,ok
1394391845,Lobbes,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.35069,4.26553,47263,1622,ok
1317633173,Ottignies,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.65797,4.57452,46335,873,ok
1327185362,Godarville,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.49394,4.2834,45882,767,remove
1247136712,Kalmthout,Flanders,BE.VLG,Belgium,BE,Europe,EU,50.86146,5.0332,45734,854,ok
1617377416,Blankenberge,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.32008,3.14082,43409,806,remove
1609417481,Beersel,Flanders,BE.VLG,Belgium,BE,Europe,EU,50.76225,4.30316,41858,789,ok
1610903932,Butgenbach,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.42752,6.21547,41228,786,ok
1632980371,Nieuwpoort,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.13883,2.74628,40812,807,ok
1544888167,Balen,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.18089,5.22264,37560,1021,ok
1367662116,Montbliart,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.14147,4.21841,34256,1231,ok
1566888834,Andenne,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.49481,5.1123,34066,1194,ok
1572626413,Verviers,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.55322,5.85622,32357,560,ok
1532853294,Genk,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.01486,5.52565,32199,1630,ok
1667999005,Schaerbeek - Schaarbeek,Brussels-Capital,BE.BRU,Belgium,BE,Europe,EU,50.86763,4.38893,31790,750,ok
1377676358,Bilzen,Flanders,BE.VLG,Belgium,BE,Europe,EU,50.92486,5.46638,30458,848,ok
1560336232,Hannut,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.7065,5.06983,30087,932,ok
1581419246,Bruges,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.32932,3.20391,29390,1625,ok
1566888489,Pin,Wallonia,BE.WAL,Belgium,BE,Europe,EU,49.68726,5.37043,28960,1237,ok
1622361625,Melle,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.00029,3.79652,28213,635,ok
1487025435,Enghien,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.68373,4.03284,24587,1616,remove
1454667016,De Panne,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.09853,2.57483,23643,954,remove
1622290661,Floreffe,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.45498,4.76685,23205,701,ok
1408354475,Bougnies,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.38712,3.94135,22752,1631,ok
1585820141,Verviers,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.55323,5.85622,22032,548,ok
1591992330,Beerse,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.31586,4.8239,21090,792,ok
1451952327,Melin,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.74004,4.82883,20823,1592,remove
1601635690,De Haan,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.28203,3.03868,20726,768,ok
1578743945,Eghezee,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.57918,4.79081,20715,1017,ok
1626382629,Bredene,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.23803,2.97652,20405,807,ok
1609080005,Wortegem-Petegem,Flanders,BE.VLG,Belgium,BE,Europe,EU,50.84844,3.50604,20228,782,ok
1631432457,Koksijde,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.14142,2.69429,19856,811,remove
1642667140,Evergem,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.15709,3.74472,19434,770,ok
1593343350,Knokke-Heist,Flanders,BE.VLG,Belgium,BE,Europe,EU,51.34373,3.25451,19362,307,ok
1665441532,Trois-Ponts,Wallonia,BE.WAL,Belgium,BE,Europe,EU,50.36014,5.90923,19333,621,ok
